"id","level","jobs","pop"
1,1,13083,32292
1,3,15154,48831
2,1,8944,26792
2,3,33735,87631
3,1,7917,22802
3,3,12335,31105
4,1,9925,41025
4,3,24125,86172
5,1,9633,40605
5,3,13897,48579
8,1,8944,26792
6,1,5892,30122
6,3,8076,41197
7,1,13507,43214
7,3,29056,80235
8,3,33735,87631
9,1,63365,93116
9,3,79950,126862
10,1,6010,13357
10,3,6010,13357
11,1,20942,37662
11,3,36634,67612
12,1,6943,37905
12,3,12787,52727
13,1,46056,106872
13,3,57328,131569
14,1,8161,32239
14,3,16824,58106
15,1,61275,30140
15,3,90250,55886
16,1,76363,50778
16,3,81625,62365
17,1,5212,9014
17,3,5212,9014
18,1,10982,18887
18,3,16071,31397
19,1,5539,14849
19,3,6281,19285
20,1,44638,16301
20,3,49145,25189
21,1,24185,11055
21,3,26072,19064
22,1,37699,12402
22,3,102427,27004
23,1,20811,57156
23,3,23705,62221
24,1,17036,31787
24,3,22197,37297
25,1,348,3152
25,3,348,3152
26,1,12548,51293
26,3,26530,90256
27,1,26025,64146
27,3,45608,97401
28,1,81922,134669
28,3,178821,227661
29,1,1222,8311
29,3,5950,24964
30,1,11668,39349
30,3,15399,51238
31,1,32707,63993
31,3,39225,89783
32,1,8018,28261
32,3,22235,76872
34,1,76986,154843
34,3,108347,214727
35,1,8066,25350
35,3,8066,25350
36,1,563,5625
36,3,563,5625
37,1,2152,24675
37,3,2771,27365
38,1,31441,62824
38,3,40036,79152
39,1,10448,36817
39,3,16510,48061
40,1,8776,26825
40,3,15988,44145
41,1,9663,42057
41,3,11000,43927
42,1,6165,7686
42,3,13986,24747
43,1,15388,34379
43,3,25230,37381
44,1,7064,31082
44,3,9462,59911
45,1,11014,38998
45,3,14634,50953
46,1,0,3145
46,3,0,3145
